Sample#T	Dt31_Study#T	Dt31_Country#T	WebApp_Study#T	WebApp_Location#T	WebApp_Region#T	WebApp_SiteCode#T	Sol_study#T	Sol_location#T	Sol_region#T	Sol_latitude#T	Sol_longitude#T
PH0485-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0486-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0487-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0488-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0489-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0490-C	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0494-CW	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0495-CW	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0496-CW	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0497-CW	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0498-CW	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0499-CW	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0500-CW	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
PH0501-CW	PFV2	KH	PFV2	Pursat	WKH	KH_Pursat	PFV2	Cambodia	Ratanakiri		
